下单日期,客户ID,商品名称,金额
2024-01-15,C001,手机,3999
2024/01/20,C002,笔记本电脑,6999
20240125,C003,耳机,599
2024-02-01,C004,手表,1299
2024-02-10,C001,平板,2599
2024-02-15,C005,相机,4599
2024-02-20,C006,音箱,899
2024-03-01,C002,手机,4299
2024-03-05,C007,耳机,699
2024-03-10,C008,笔记本电脑,7599
2024-03-15,C003,平板,2899
2024-03-20,C001,手表,1599
2024-04-01,C004,相机,5299
2024-04-05,C005,手机,3699
2024-04-10,C006,耳机,799
2024-04-15,C007,音箱,999
2024-04-20,C008,平板,3199
2024-05-01,C002,笔记本电脑,8299
2024-05-05,C001,相机,6199
invalid-date,C003,手机,3899